nome,link
 Industrial Production: Manufacturing (NAICS) ,https://fred.stlouisfed.org/series/IPMAN
 Industrial Production: Total Index ,https://fred.stlouisfed.org/series/INDPRO
Industrial Production: Manufacturing (NAICS),https://fred.stlouisfed.org/series/IPMAN
" Industrial Production: Utilities: Electric and Gas Utilities (NAICS = 2211,2)",https://fred.stlouisfed.org/series/IPUTIL
 Industrial Production: Consumer Goods,https://fred.stlouisfed.org/series/IPCONGD
 Industrial Production: Manufacturing: Durable Goods: Motor Vehicles and Parts (NAICS = 3361-3),https://fred.stlouisfed.org/series/IPG3361T3S
Real Per Capita Personal Income for United States,https://fred.stlouisfed.org/series/RPIPCUS
 Real Disposable Personal Income: Per Capita,https://fred.stlouisfed.org/series/A229RX0
 Personal income per capita,https://fred.stlouisfed.org/series/A792RC0Q052SBEA
"Households and Nonprofit Organizations; Net Worth, Level",https://fred.stlouisfed.org/series/TNWBSHNO
"Households and Nonprofit Organizations; Net Worth as a Percentage of Disposable Personal Income, Level",https://fred.stlouisfed.org/series/HNONWPDPI
" Households; Owners' Equity in Real Estate, Level",https://fred.stlouisfed.org/series/OEHRENWBSHNO
 Producer Price Index by Commodity: Transportation Equipment: Motor Vehicles ,https://fred.stlouisfed.org/series/WPS1411
 Freight Transportation Services Index,https://fred.stlouisfed.org/series/TSIFRGHTC
" All Employees, Transportation and Warehousing",https://fred.stlouisfed.org/series/CES4300000001
 Producer Price Index by Industry: Truck Transportation,https://fred.stlouisfed.org/series/PCU484484
 Producer Price Index by Industry: Deep Sea Freight Transportation: Deep Sea Freight Transportation Services ,https://fred.stlouisfed.org/series/PCU4831114831115
 Equity Market Volatility Tracker: Macroeconomic News and Outlook: Business Investment And Sentiment,https://fred.stlouisfed.org/series/EMVMACROBUS
 Current General Business Conditions; Diffusion Index for New York,https://fred.stlouisfed.org/series/GACDISA066MSFRBNY
"CSBS Community Bank Sentiment, Business Conditions Index ",https://fred.stlouisfed.org/series/CBSIBC
CSBS Community Bank Sentiment Index ,https://fred.stlouisfed.org/series/CBSICO 
 Business Tendency Surveys (Manufacturing): Confidence Indicators: Composite Indicators: OECD Indicator for United States ,https://fred.stlouisfed.org/series/BSCICP03USM665S
 Households and Nonprofit Organizations; Personal Saving Excluding Consumer Durables,https://fred.stlouisfed.org/series/BOGZ1FA156007015Q
"Nonfinancial Corporate Business; Consumption of Fixed Capital, Structures, Equipment, and Intellectual Property Products, Including Equity REIT Residential Structures",https://fred.stlouisfed.org/series/BOGZ1FA106300003Q
"Real Estate Investment Trusts; Consumption of Fixed Capital, Nonresidential Entertainment, Literary, and Artistic Originals, Current Cost Basis, Transactions",https://fred.stlouisfed.org/series/BOGZ1FA646330053Q
Personal consumption expenditures: Services: Household consumption expenditures: Transportation services: Public transportation: Air transportation,https://fred.stlouisfed.org/series/DAITRC1A027NBEA
New Privately-Owned Housing Units Authorized in Permit-Issuing Places: Total Units in the Midwest Census Region,https://fred.stlouisfed.org/series/PERMITMW
 New Privately-Owned Housing Units Authorized in Permit-Issuing Places: Total Units,https://fred.stlouisfed.org/series/PERMIT
New Privately-Owned Housing Units Authorized in Permit-Issuing Places: Total Units in the Northeast Census Region,https://fred.stlouisfed.org/series/PERMITNE
